lactation,delivery_age_years,dim,dry_days,forage_kg_day,rumination_min_day,milk_kg_day,milk_kg_min_robot,milkings_day,errors_by_100_milkings,high_cdt_by_100_milkings,watery_by_100_milkings,refusals_by_milking,colostrum_separated_kg
7,7.75,414,56.0,4.31091787439613,434.814009661836,34.0823671497585,3.69569892473118,2.47826086956522,2.04678362573099,0.0,0.0,0.0779727095516569,0.0
8,9.08333333333333,357,78.0,4.16708683473389,589.5,36.1708683473389,4.02416452442159,2.17647058823529,0.900900900900901,0.0,0.0,0.0141570141570142,0.0
6,7.66666666666667,315,69.0,4.90333333333333,542.577777777778,43.371746031746,2.71525198938992,2.38730158730159,1.06382978723404,0.0,0.132978723404255,0.0452127659574468,12.8
7,8.66666666666667,362,69.0,4.29472375690608,628.371900826446,41.6831491712707,2.73329145728643,2.19337016574586,1.7632241813602,0.0,0.0,0.061712846347607,16.2
5,6.5,427,58.0,4.79861826697892,479.334112149533,37.916393442623,1.88860759493671,3.14285714285714,0.745156482861401,0.0,0.0,0.444858420268256,20.2
6,7.91666666666667,359,77.0,5.09264623955432,534.011111111111,44.2880222841226,2.23943377148635,2.75487465181059,1.314459049545,0.0,0.0,0.0829120323559151,14.4
5,6.83333333333333,320,69.0,4.8580625,543.697819314642,45.4434375,3.45882352941176,2.44375,1.0230179028133,0.0,0.0,0.0588235294117647,0.0
6,7.83333333333333,336,58.0,4.47866071428571,610.554896142433,45.1068452380952,3.60723350253807,2.34821428571429,0.760456273764259,0.0,0.0,0.0836501901140684,29.8
4,5.83333333333333,373,71.0,5.32490616621984,434.320855614973,42.9707774798928,2.41864801864802,3.44235924932976,0.0,0.0,0.0778816199376947,0.408878504672897,47.0
5,7.0,298,62.0,5.68080536912752,556.604026845638,47.4855704697987,2.35293056807935,3.71812080536913,0.0,0.451263537906137,0.0,0.326714801444043,9.4
4,5.08333333333333,276,61.0,5.14090579710145,475.635379061372,40.3253623188406,3.81989795918367,3.55797101449275,0.814663951120163,0.712830957230143,0.0,0.395112016293279,17.2
5,6.0,363,72.0,4.76159779614325,548.934065934066,36.9727272727273,3.64440298507463,2.94214876033058,0.374531835205993,3.37078651685393,0.0,0.141385767790262,43.9
6,7.25,294,76.0,4.00190476190476,567.31186440678,38.8224489795918,3.5210407239819,3.01020408163265,1.92090395480226,13.3333333333333,2.93785310734463,0.11638418079096,30.1
4,5.0,288,64.0,5.74586805555556,427.865051903114,47.1510416666667,4.00228452751817,3.32986111111111,0.417101147028154,0.104275286757039,0.0,0.117831074035454,0.0
4,5.75,369,70.0,4.63181571815718,564.94054054054,47.7571815718157,3.18214716525935,2.24119241192412,0.0,0.120918984280532,0.0,0.0241837968561064,34.5
5,7.0,317,71.0,4.15864353312303,579.078616352201,52.805047318612,3.19597222222222,2.27444794952681,0.0,0.0,0.277392510402219,0.0208044382801664,66.7
4,4.75,250,47.0,3.01464,438.03187250996,15.3556,1.11438515081207,3.472,1.15207373271889,0.0,0.0,0.587557603686636,0.0
5,5.75,287,85.0,5.40090592334495,571.184027777778,43.9219512195122,1.87134935304991,3.77351916376307,0.646352723915051,0.0,0.0,0.356417359187442,0.0
6,6.66666666666667,371,58.0,4.66207547169811,584.663978494624,42.9819407008086,2.06960249415433,3.46091644204852,0.545171339563863,0.0,0.0,0.225856697819315,63.2
3,4.41666666666667,320,22.0,4.4164375,382.034267912773,32.3859375,3.32470588235294,3.453125,0.81447963800905,0.0,0.0,0.380090497737557,47.8
4,5.5,338,76.0,5.59301775147929,491.77581120944,44.796449704142,3.67714048212801,3.55621301775148,3.24459234608985,1.08153078202995,3.82695507487521,0.217970049916805,2.2
4,4.83333333333333,340,84.0,4.65885294117647,506.392961876833,37.0970588235294,3.75351787773933,2.59705882352941,0.0,0.0,0.0,0.116647791619479,8.1
5,6.0,308,75.0,4.49340909090909,521.967637540453,39.2899350649351,3.83845144356955,2.50324675324675,0.0,0.0,0.0,0.0635538261997406,0.0
4,5.0,384,112.0,4.33276041666667,489.322077922078,37.0885416666667,4.34078014184397,2.23177083333333,4.66744457409568,0.0,0.0,0.0455075845974329,0.0
5,6.16666666666667,393,68.0,3.46358778625954,476.883248730964,33.6867684478371,3.44426787741203,2.24936386768448,2.71493212669683,4.41176470588235,0.0,0.0407239819004525,28.3
3,4.16666666666667,372,71.0,5.42951612903226,515.195710455764,47.3309139784946,3.62082429501085,2.47043010752688,0.0,0.0,0.0,0.0206746463547334,0.0
4,5.33333333333333,285,76.0,4.66824561403509,583.01048951049,51.2971929824561,3.84318529862175,2.28771929824561,0.306748466257669,7.66871165644172,1.68711656441718,0.00920245398773,17.2
5,6.33333333333333,299,68.0,3.10454849498328,536.466666666667,37.2066889632107,3.06428571428571,2.10367892976589,0.0,0.158982511923688,0.0,0.0111287758346582,0.0
3,4.0,285,47.0,4.97501754385965,513.199300699301,40.4964912280702,3.07689075630252,2.49824561403509,0.561797752808989,0.0,0.0,0.0337078651685393,0.0
4,4.91666666666667,297,64.0,4.60451178451178,571.946308724832,44.079797979798,3.34398826979472,2.28282828282828,0.147492625368732,0.0,0.0,0.0324483775811209,8.3
5,5.91666666666667,337,69.0,4.06370919881306,573.452662721893,43.4768545994065,3.28890306122449,2.31750741839763,0.128040973111396,0.128040973111396,0.640204865556978,0.029449423815621,13.0
3,4.0,278,54.0,4.82758992805755,510.225806451613,39.7413669064748,2.91650793650794,2.26618705035971,0.0,0.0,0.0,0.0333333333333333,33.4
4,4.91666666666667,361,72.0,4.9217728531856,589.162983425414,44.3434903047091,3.02467248908297,2.53462603878116,0.0,0.0,0.0,0.0284153005464481,51.0
3,3.75,389,52.0,4.51503856041131,496.771794871795,35.8362467866324,1.52698275862069,2.98971722365039,0.0,0.0,0.0,0.514187446259673,31.4
4,5.0,292,66.0,5.58633561643836,565.638225255973,47.979794520548,1.52877005347594,3.1986301369863,0.0,0.0,0.0,0.253747323340471,36.3
5,6.0,321,60.0,4.09507788161994,569.931464174455,44.6750778816199,1.66822541966427,2.60436137071651,0.0,0.0,0.0,0.0980861244019139,50.0
3,4.0,283,62.0,5.89547703180212,474.683098591549,47.6473498233216,2.96602357984995,3.30035335689046,0.856531049250535,0.0,0.0,0.223768736616702,48.0
4,5.0,329,64.0,5.62337386018237,526.760606060606,48.4075987841945,3.14071499503476,3.05775075987842,0.298210735586481,0.0,0.0,0.133200795228628,10.7
5,6.08333333333333,280,68.0,4.20496428571429,471.448398576512,46.7482142857143,3.1387448840382,2.61428571428571,0.819672131147541,0.0,0.0,0.0505464480874317,39.8
3,3.91666666666667,298,66.0,4.71540268456376,467.160535117057,37.0889261744966,2.27944664031621,2.54026845637584,0.132100396301189,0.0,0.0,0.0739762219286658,42.6
2,3.83333333333333,329,64.0,5.48352583586626,432.048484848485,43.9641337386018,1.88724082934609,3.8145896656535,0.0,0.0,0.0,1.45258964143426,6.2
3,4.91666666666667,590,61.0,4.92720338983051,479.147208121827,43.6084745762712,2.07146426786607,3.39152542372881,0.0,0.0,0.0,0.557221389305347,20.1
2,3.33333333333333,307,62.0,4.925667752443,487.651465798046,39.1355048859935,1.90358102059087,3.69381107491857,2.82186948853616,0.0,0.0,0.76278659611993,0.0
3,4.33333333333333,317,67.0,5.20902208201893,533.647798742138,42.4725552050473,2.05784408084697,3.28391167192429,1.44092219020173,0.0,0.0,0.311239193083574,36.9
4,5.41666666666667,295,72.0,4.32569491525424,535.874576271186,44.3050847457627,2.19803921568627,2.93559322033898,1.38568129330254,0.0,0.0,0.163972286374134,48.7
